query,dag_id,dag_text,tools,edges,source,topo_family,dag_hash
"Do me a favor and purge prod-web-01's cached data and give auth-svc-04 a kick. Once that's done, query the database about #53698, then undo the latest release on cdn-edge-06, merge everything and add the attacker's IP to the firewall blocklist.",10027,"db_read -> rollback_deployment, invalidate_cache -> db_read, restart_service -> block_ip_address, rollback_deployment -> block_ip_address",invalidate_cache;db_read;rollback_deployment;block_ip_address;restart_service,0->1;1->2;2->3;4->3,generated,deep_asymmetric_merge,ab5a22bb40db5531
"From Legal: do a security check on payment-api-03 and concurrently mark auth-svc-04 with the project identifier and pull cdn-edge-06 back from the last good backup, merge everything and annotate cdn-edge-06 with the environment label and concurrently block the suspicious IP hitting prod-web-01 and freeze cdn-edge-06's state into a snapshot. Once both are done, see what's going on with payment-api-03.",10028,"block_ip_address -> check_status, restore_backup -> tag_resource, scan_malware -> restore_backup, scan_malware -> tag_resource, snapshot_vm -> check_status, tag_resource -> block_ip_address, tag_resource -> snapshot_vm, tag_resource -> tag_resource",scan_malware;tag_resource;restore_backup;tag_resource;block_ip_address;snapshot_vm;check_status,0->1;0->2;1->3;2->3;3->4;3->5;4->6;5->6,generated,double_diamond,f8b36a47c79de1f1
"Per Eve's request, sweep payment-api-03 for IOCs — in parallel, annotate ml-infer-05 with the environment label and pull prod-web-01 back from the last good backup. After those finish, tag auth-svc-04 with the HR cost center, and while you're at it, firewall off the offending IP on cdn-edge-06 and freeze cdn-edge-06's state into a snapshot, then converge and verify prod-web-01's health.",10028,"block_ip_address -> check_status, restore_backup -> tag_resource, scan_malware -> restore_backup, scan_malware -> tag_resource, snapshot_vm -> check_status, tag_resource -> block_ip_address, tag_resource -> snapshot_vm, tag_resource -> tag_resource",scan_malware;tag_resource;restore_backup;tag_resource;block_ip_address;snapshot_vm;check_status,0->1;0->2;1->3;2->3;3->4;3->5;4->6;5->6,generated,double_diamond,f8b36a47c79de1f1
"Sweep cdn-edge-06 for IOCs, and while you're at it, apply the Legal tag to staging-db-02 and pull auth-svc-04 back from the last good backup, merge everything and mark auth-svc-04 with the project identifier and concurrently drop all traffic from that address on staging-db-02 and create a VM snapshot for cdn-edge-06, merge everything and see what's going on with ml-infer-05.",10028,"block_ip_address -> check_status, restore_backup -> tag_resource, scan_malware -> restore_backup, scan_malware -> tag_resource, snapshot_vm -> check_status, tag_resource -> block_ip_address, tag_resource -> snapshot_vm, tag_resource -> tag_resource",scan_malware;tag_resource;restore_backup;tag_resource;block_ip_address;snapshot_vm;check_status,0->1;0->2;1->3;2->3;3->4;3->5;4->6;5->6,generated,double_diamond,f8b36a47c79de1f1
"ASAP — run a malware sweep on ml-infer-05 while also annotate cdn-edge-06 with the environment label and restore the DB snapshot for Marketing. When all of that's complete, tag auth-svc-04 with the Marketing cost center — in parallel, block the suspicious IP hitting cdn-edge-06 and save payment-api-03's disk image. When all of that's complete, assess payment-api-03's status.",10028,"block_ip_address -> check_status, restore_backup -> tag_resource, scan_malware -> restore_backup, scan_malware -> tag_resource, snapshot_vm -> check_status, tag_resource -> block_ip_address, tag_resource -> snapshot_vm, tag_resource -> tag_resource",scan_malware;tag_resource;restore_backup;tag_resource;block_ip_address;snapshot_vm;check_status,0->1;0->2;1->3;2->3;3->4;3->5;4->6;5->6,generated,double_diamond,f8b36a47c79de1f1
"The Marketing team needs us to strip Eve's access to Engineering and look up the records for #31450. Next, spin up a VM for Finance, followed by add the reviewer role to Alice's account, then converge and whitelist the IP that was accidentally blocked.",10029,"assign_role -> unblock_ip_address, db_read -> unblock_ip_address, provision_vm -> assign_role, revoke_access -> provision_vm",revoke_access;provision_vm;assign_role;unblock_ip_address;db_read,0->1;1->2;2->3;4->3,generated,deep_asymmetric_merge,bf40caec86ddd872
"Do me a favor and strip Diana's access to Finance and dig up the history on Eve, and then provision a new instance for Engineering. Next, assign the admin role to Eve. Once both are done, remove the IP from the blocklist on ml-infer-05.",10029,"assign_role -> unblock_ip_address, db_read -> unblock_ip_address, provision_vm -> assign_role, revoke_access -> provision_vm",revoke_access;provision_vm;assign_role;unblock_ip_address;db_read,0->1;1->2;2->3;4->3,generated,deep_asymmetric_merge,bf40caec86ddd872
"We gotta revoke Bob's access to payment-api-03 and read Grace's profile from the database. Once that's done, stand up a new box for Marketing, and then set Grace up with read-write access, then converge and whitelist the IP that was accidentally blocked.",10029,"assign_role -> unblock_ip_address, db_read -> unblock_ip_address, provision_vm -> assign_role, revoke_access -> provision_vm",revoke_access;provision_vm;assign_role;unblock_ip_address;db_read,0->1;1->2;2->3;4->3,generated,deep_asymmetric_merge,bf40caec86ddd872
"Disable Bob's account on prod-web-01 and read Diana's profile from the database — then create a virtual machine for HR, followed by give Frank the editor permission. When all of that's complete, undo the IP block on prod-web-01.",10029,"assign_role -> unblock_ip_address, db_read -> unblock_ip_address, provision_vm -> assign_role, revoke_access -> provision_vm",revoke_access;provision_vm;assign_role;unblock_ip_address;db_read,0->1;1->2;2->3;4->3,generated,deep_asymmetric_merge,bf40caec86ddd872
"When you get a chance, add more replicas for auth-svc-04 — in parallel, renew the TLS cert for staging-db-02, write the new data for #10234 back, generate the HR analytics, and disable Bob's account on cdn-edge-06 — then restore prod-web-01 from the latest backup, and lastly roll out the containerised app to auth-svc-04.",10030,"restore_backup -> deploy_container, revoke_access -> restore_backup, scale_service -> db_write, scale_service -> generate_report, scale_service -> renew_certificate, scale_service -> revoke_access",scale_service;renew_certificate;db_write;generate_report;revoke_access;restore_backup;deploy_container,0->1;0->2;0->3;0->4;4->5;5->6,generated,wide_fanout_deep,a2ae9a1ab1f746c1
"ASAP — bump the capacity on auth-svc-04 and concurrently refresh the SSL certificate on auth-svc-04, commit Eve's update to the database, generate the Legal analytics, and remove Grace from Marketing's access list, followed by recover Finance's data from backup. End with roll out the containerised app to cdn-edge-06.",10030,"restore_backup -> deploy_container, revoke_access -> restore_backup, scale_service -> db_write, scale_service -> generate_report, scale_service -> renew_certificate, scale_service -> revoke_access",scale_service;renew_certificate;db_write;generate_report;revoke_access;restore_backup;deploy_container,0->1;0->2;0->3;0->4;4->5;5->6,generated,wide_fanout_deep,a2ae9a1ab1f746c1
"The HR team needs us to bump the capacity on payment-api-03 while also the cert for payment-api-03 is about to expire, renew it, update Eve's record in the DB, compile a summary for HR, and pull Bob's credentials for auth-svc-04 — then load the backup onto payment-api-03. End with ship the new build to ml-infer-05.",10030,"restore_backup -> deploy_container, revoke_access -> restore_backup, scale_service -> db_write, scale_service -> generate_report, scale_service -> renew_certificate, scale_service -> revoke_access",scale_service;renew_certificate;db_write;generate_report;revoke_access;restore_backup;deploy_container,0->1;0->2;0->3;0->4;4->5;5->6,generated,wide_fanout_deep,a2ae9a1ab1f746c1
"Ticket INC-7733 says add more replicas for payment-api-03 while also get a new certificate for payment-api-03, update Grace's record in the DB, generate the Legal analytics, and strip Charlie's access to Legal. Once that's done, recover Finance's data from backup, and lastly get the container running on payment-api-03.",10030,"restore_backup -> deploy_container, revoke_access -> restore_backup, scale_service -> db_write, scale_service -> generate_report, scale_service -> renew_certificate, scale_service -> revoke_access",scale_service;renew_certificate;db_write;generate_report;revoke_access;restore_backup;deploy_container,0->1;0->2;0->3;0->4;4->5;5->6,generated,wide_fanout_deep,a2ae9a1ab1f746c1
"From Legal: roll out the containerised app to auth-svc-04, and while you're at it, initiate failover on cdn-edge-06 and quarantine auth-svc-04. After those finish, update the SSL on ml-infer-05.",10031,"deploy_container -> quarantine_system, deploy_container -> trigger_failover, quarantine_system -> renew_certificate, trigger_failover -> renew_certificate",deploy_container;trigger_failover;quarantine_system;renew_certificate,0->1;0->2;1->3;2->3,generated,diamond,2d5f03a0d1e9957d
"Time to get the container running on cdn-edge-06 and concurrently move traffic to the backup for staging-db-02 and lock down cdn-edge-06. After those finish, renew the TLS cert for ml-infer-05.",10031,"deploy_container -> quarantine_system, deploy_container -> trigger_failover, quarantine_system -> renew_certificate, trigger_failover -> renew_certificate",deploy_container;trigger_failover;quarantine_system;renew_certificate,0->1;0->2;1->3;2->3,generated,diamond,2d5f03a0d1e9957d
"Do me a favor and deploy the container for Finance and simultaneously activate the DR replica for payment-api-03 and pull prod-web-01 from production. After those finish, reissue the TLS certificate for HR.",10031,"deploy_container -> quarantine_system, deploy_container -> trigger_failover, quarantine_system -> renew_certificate, trigger_failover -> renew_certificate",deploy_container;trigger_failover;quarantine_system;renew_certificate,0->1;0->2;1->3;2->3,generated,diamond,2d5f03a0d1e9957d
"Time to push the container image for HR and concurrently move traffic to the backup for staging-db-02 and lock down prod-web-01. When all of that's complete, get a new certificate for auth-svc-04.",10031,"deploy_container -> quarantine_system, deploy_container -> trigger_failover, quarantine_system -> renew_certificate, trigger_failover -> renew_certificate",deploy_container;trigger_failover;quarantine_system;renew_certificate,0->1;0->2;1->3;2->3,generated,diamond,2d5f03a0d1e9957d
"For the HR team, give Bob the editor permission and at the same time credit Bob's account and confirm we're aware of the payment-api-03 incident. After those finish, point the domain to payment-api-03, and lastly take away Diana's manager role.",10032,"acknowledge_alert -> create_dns_record, assign_role -> acknowledge_alert, assign_role -> process_refund, create_dns_record -> remove_role, process_refund -> create_dns_record",assign_role;process_refund;acknowledge_alert;create_dns_record;remove_role,0->1;0->2;1->3;2->3;3->4,generated,asymmetric_fork_join,6b9bdc95f4b5d1b6
"Ticket INC-8842 says add the reviewer role to Charlie's account while also give Bob their money back and confirm we're aware of the payment-api-03 incident. After those finish, register a DNS name for Legal. End with revoke the reviewer role from Diana.",10032,"acknowledge_alert -> create_dns_record, assign_role -> acknowledge_alert, assign_role -> process_refund, create_dns_record -> remove_role, process_refund -> create_dns_record",assign_role;process_refund;acknowledge_alert;create_dns_record;remove_role,0->1;0->2;1->3;2->3;3->4,generated,asymmetric_fork_join,6b9bdc95f4b5d1b6
"Time to assign the admin role to Diana, and while you're at it, refund Charlie and acknowledge the alert on staging-db-02. When all of that's complete, create a DNS entry for ml-infer-05. Finally, revoke the reviewer role from Bob.",10032,"acknowledge_alert -> create_dns_record, assign_role -> acknowledge_alert, assign_role -> process_refund, create_dns_record -> remove_role, process_refund -> create_dns_record",assign_role;process_refund;acknowledge_alert;create_dns_record;remove_role,0->1;0->2;1->3;2->3;3->4,generated,asymmetric_fork_join,6b9bdc95f4b5d1b6
"From Legal: set Alice up with read-write access and concurrently reverse the charge on #10234 and confirm we're aware of the prod-web-01 incident. Once both are done, register a DNS name for Finance. Last step: take away Alice's manager role.",10032,"acknowledge_alert -> create_dns_record, assign_role -> acknowledge_alert, assign_role -> process_refund, create_dns_record -> remove_role, process_refund -> create_dns_record",assign_role;process_refund;acknowledge_alert;create_dns_record;remove_role,0->1;0->2;1->3;2->3;3->4,generated,asymmetric_fork_join,6b9bdc95f4b5d1b6
"ASAP — take cdn-edge-06 back to the prior build and escalate Diana's case to the on-call, followed by re-allow the blocked address on auth-svc-04. Once that's done, save payment-api-03's disk image. Once both are done, flip the feature toggle on for Engineering.",10033,"escalate_to_human -> enable_feature_flag, rollback_deployment -> unblock_ip_address, snapshot_vm -> enable_feature_flag, unblock_ip_address -> snapshot_vm",rollback_deployment;unblock_ip_address;snapshot_vm;enable_feature_flag;escalate_to_human,0->1;1->2;2->3;4->3,generated,deep_asymmetric_merge,d82481162d9b61f4
"Roll back the last deploy on ml-infer-05 and get a human involved for Charlie, then remove the IP from the blocklist on cdn-edge-06, followed by freeze prod-web-01's state into a snapshot. Once both are done, flip the feature toggle on for Engineering.",10033,"escalate_to_human -> enable_feature_flag, rollback_deployment -> unblock_ip_address, snapshot_vm -> enable_feature_flag, unblock_ip_address -> snapshot_vm",rollback_deployment;unblock_ip_address;snapshot_vm;enable_feature_flag;escalate_to_human,0->1;1->2;2->3;4->3,generated,deep_asymmetric_merge,d82481162d9b61f4
"Urgent: roll back the last deploy on cdn-edge-06 and hand Bob's issue off to an engineer — then undo the IP block on payment-api-03. Once that's done, capture the current state of staging-db-02, merge everything and enable the flag for cdn-edge-06.",10033,"escalate_to_human -> enable_feature_flag, rollback_deployment -> unblock_ip_address, snapshot_vm -> enable_feature_flag, unblock_ip_address -> snapshot_vm",rollback_deployment;unblock_ip_address;snapshot_vm;enable_feature_flag;escalate_to_human,0->1;1->2;2->3;4->3,generated,deep_asymmetric_merge,d82481162d9b61f4
"I need you to roll payment-api-03 back to the last stable release and loop in a Engineering manager. Next, let traffic through from that IP again on prod-web-01. Next, take a snapshot of ml-infer-05. Once both are done, activate the feature flag on prod-web-01.",10033,"escalate_to_human -> enable_feature_flag, rollback_deployment -> unblock_ip_address, snapshot_vm -> enable_feature_flag, unblock_ip_address -> snapshot_vm",rollback_deployment;unblock_ip_address;snapshot_vm;enable_feature_flag;escalate_to_human,0->1;1->2;2->3;4->3,generated,deep_asymmetric_merge,d82481162d9b61f4
"Grace is asking us to download all of Frank's information and at the same time assess auth-svc-04's status and bring staging-db-02 back from the snapshot. After those finish, schedule maintenance for prod-web-01, and while you're at it, ack the firing alert for staging-db-02 and add an alert when payment-api-03 goes above 90% memory, then converge and remove Grace from Marketing's access list.",10034,"acknowledge_alert -> revoke_access, check_status -> schedule_maintenance, create_alert_rule -> revoke_access, export_data -> check_status, export_data -> restore_backup, restore_backup -> schedule_maintenance, schedule_maintenance -> acknowledge_alert, schedule_maintenance -> create_alert_rule",export_data;check_status;restore_backup;schedule_maintenance;acknowledge_alert;create_alert_rule;revoke_access,0->1;0->2;1->3;2->3;3->4;3->5;4->6;5->6,generated,double_diamond,33ca3b8e7aa894b1
"ASAP — download all of Eve's information while also diagnose payment-api-03 and bring staging-db-02 back from the snapshot. When all of that's complete, book a maintenance window for cdn-edge-06, and while you're at it, accept the notification about ml-infer-05 and create a monitoring rule for cdn-edge-06, merge everything and strip Bob's access to HR.",10034,"acknowledge_alert -> revoke_access, check_status -> schedule_maintenance, create_alert_rule -> revoke_access, export_data -> check_status, export_data -> restore_backup, restore_backup -> schedule_maintenance, schedule_maintenance -> acknowledge_alert, schedule_maintenance -> create_alert_rule",export_data;check_status;restore_backup;schedule_maintenance;acknowledge_alert;create_alert_rule;revoke_access,0->1;0->2;1->3;2->3;3->4;3->5;4->6;5->6,generated,double_diamond,33ca3b8e7aa894b1
"Urgent: generate a data export for Legal, and while you're at it, check if staging-db-02 is up and load the backup onto cdn-edge-06, then converge and schedule maintenance for staging-db-02 and simultaneously confirm we're aware of the ml-infer-05 incident and add an alert when payment-api-03 goes above 90% memory. After those finish, disable Bob's account on staging-db-02.",10034,"acknowledge_alert -> revoke_access, check_status -> schedule_maintenance, create_alert_rule -> revoke_access, export_data -> check_status, export_data -> restore_backup, restore_backup -> schedule_maintenance, schedule_maintenance -> acknowledge_alert, schedule_maintenance -> create_alert_rule",export_data;check_status;restore_backup;schedule_maintenance;acknowledge_alert;create_alert_rule;revoke_access,0->1;0->2;1->3;2->3;3->4;3->5;4->6;5->6,generated,double_diamond,33ca3b8e7aa894b1
"ASAP — pull a data dump for Grace — in parallel, ping payment-api-03 for a health check and pull payment-api-03 back from the last good backup, then converge and schedule maintenance for prod-web-01 — in parallel, mark the auth-svc-04 alert as seen and add an alert when prod-web-01 goes above 90% memory, then converge and disable Frank's account on auth-svc-04.",10034,"acknowledge_alert -> revoke_access, check_status -> schedule_maintenance, create_alert_rule -> revoke_access, export_data -> check_status, export_data -> restore_backup, restore_backup -> schedule_maintenance, schedule_maintenance -> acknowledge_alert, schedule_maintenance -> create_alert_rule",export_data;check_status;restore_backup;schedule_maintenance;acknowledge_alert;create_alert_rule;revoke_access,0->1;0->2;1->3;2->3;3->4;3->5;4->6;5->6,generated,double_diamond,33ca3b8e7aa894b1
"Let traffic through from that IP again on auth-svc-04, and then kill the feature toggle for Marketing — then put together a report on payment-api-03, then push the container image for Finance. Next, drop an audit entry for ml-infer-05. Once both are done, send a heads-up to Legal.",10035,"deploy_container -> log_audit_event, disable_feature_flag -> generate_report, generate_report -> deploy_container, generate_report -> send_notification, log_audit_event -> send_notification, unblock_ip_address -> disable_feature_flag",unblock_ip_address;disable_feature_flag;generate_report;deploy_container;log_audit_event;send_notification,0->1;1->2;2->3;3->4;4->5;2->5,generated,long_chain_branched,563049d83870a832
"We gotta undo the IP block on staging-db-02, followed by deactivate the feature flag on prod-web-01. Next, whip up a report for Legal, and then launch the docker deployment for Engineering. After that, log Charlie's action for compliance. Once both are done, send a heads-up to HR.",10035,"deploy_container -> log_audit_event, disable_feature_flag -> generate_report, generate_report -> deploy_container, generate_report -> send_notification, log_audit_event -> send_notification, unblock_ip_address -> disable_feature_flag",unblock_ip_address;disable_feature_flag;generate_report;deploy_container;log_audit_event;send_notification,0->1;1->2;2->3;3->4;4->5;2->5,generated,long_chain_branched,563049d83870a832
"Time to let traffic through from that IP again on auth-svc-04, then turn off the feature flag for Engineering. Next, generate the Legal analytics. After that, ship the new build to prod-web-01, then drop an audit entry for ml-infer-05. After those finish, blast an alert to Finance.",10035,"deploy_container -> log_audit_event, disable_feature_flag -> generate_report, generate_report -> deploy_container, generate_report -> send_notification, log_audit_event -> send_notification, unblock_ip_address -> disable_feature_flag",unblock_ip_address;disable_feature_flag;generate_report;deploy_container;log_audit_event;send_notification,0->1;1->2;2->3;3->4;4->5;2->5,generated,long_chain_branched,563049d83870a832
"For the Finance team, whitelist the IP that was accidentally blocked. After that, deactivate the feature flag on auth-svc-04. After that, generate the Marketing analytics, followed by launch the docker deployment for Engineering. After that, create an audit trail for #53698. After those finish, send a heads-up to Legal.",10035,"deploy_container -> log_audit_event, disable_feature_flag -> generate_report, generate_report -> deploy_container, generate_report -> send_notification, log_audit_event -> send_notification, unblock_ip_address -> disable_feature_flag",unblock_ip_address;disable_feature_flag;generate_report;deploy_container;log_audit_event;send_notification,0->1;1->2;2->3;3->4;4->5;2->5,generated,long_chain_branched,563049d83870a832
"ASAP — save the changes for Alice to the DB and simulate peak traffic on ml-infer-05. After those finish, detach the operator role from Grace — in parallel, drop an audit entry for staging-db-02 and check the DB for Frank.",10036,"db_write -> remove_role, remove_role -> db_read, remove_role -> log_audit_event, run_load_test -> remove_role",db_write;run_load_test;remove_role;log_audit_event;db_read,0->2;1->2;2->3;2->4,generated,hourglass,bff3ae0be56c2a64
"Quick one — push the changes for Bob to the DB and run a load test against cdn-edge-06. When all of that's complete, revoke the reviewer role from Eve and simultaneously make a compliance log about Charlie and dig up the history on Grace.",10036,"db_write -> remove_role, remove_role -> db_read, remove_role -> log_audit_event, run_load_test -> remove_role",db_write;run_load_test;remove_role;log_audit_event;db_read,0->2;1->2;2->3;2->4,generated,hourglass,bff3ae0be56c2a64
"ASAP — write the new data for #42017 back and do a performance test on cdn-edge-06, merge everything and detach the operator role from Grace while also record the event in Engineering's log and check the DB for Bob.",10036,"db_write -> remove_role, remove_role -> db_read, remove_role -> log_audit_event, run_load_test -> remove_role",db_write;run_load_test;remove_role;log_audit_event;db_read,0->2;1->2;2->3;2->4,generated,hourglass,bff3ae0be56c2a64
"Time to update Diana's record in the DB and benchmark prod-web-01 under heavy load. After those finish, detach the operator role from Eve — in parallel, log the whole auth-svc-04 incident and look up the records for #31450.",10036,"db_write -> remove_role, remove_role -> db_read, remove_role -> log_audit_event, run_load_test -> remove_role",db_write;run_load_test;remove_role;log_audit_event;db_read,0->2;1->2;2->3;2->4,generated,hourglass,bff3ae0be56c2a64
"Quick one — label auth-svc-04 for tracking and concurrently create a support case for Legal and drop an audit entry for staging-db-02, merge everything and send a heads-up to HR, and lastly give Bob a new password.",10037,"create_ticket -> send_notification, log_audit_event -> send_notification, send_notification -> reset_password, tag_resource -> create_ticket, tag_resource -> log_audit_event",tag_resource;create_ticket;log_audit_event;send_notification;reset_password,0->1;0->2;1->3;2->3;3->4,generated,asymmetric_fork_join,6f46a71b91dbd14a
"Alice is asking us to tag auth-svc-04 with the Engineering cost center while also log a Jira for Eve's issue and record the event in Marketing's log, merge everything and blast an alert to Marketing. Finally, force a credential change for Charlie.",10037,"create_ticket -> send_notification, log_audit_event -> send_notification, send_notification -> reset_password, tag_resource -> create_ticket, tag_resource -> log_audit_event",tag_resource;create_ticket;log_audit_event;send_notification;reset_password,0->1;0->2;1->3;2->3;3->4,generated,asymmetric_fork_join,6f46a71b91dbd14a
"Bob reported an issue — add a tag to staging-db-02 for billing — in parallel, log a Jira for Grace's issue and make a compliance log about Bob. When all of that's complete, send a heads-up to Finance. Last step: rotate Frank's credentials.",10037,"create_ticket -> send_notification, log_audit_event -> send_notification, send_notification -> reset_password, tag_resource -> create_ticket, tag_resource -> log_audit_event",tag_resource;create_ticket;log_audit_event;send_notification;reset_password,0->1;0->2;1->3;2->3;3->4,generated,asymmetric_fork_join,6f46a71b91dbd14a
"Charlie is asking us to annotate ml-infer-05 with the environment label and at the same time spin up a tracking ticket for Alice and log Charlie's action for compliance. When all of that's complete, fire off a notification to Charlie. Finally, rotate Grace's credentials.",10037,"create_ticket -> send_notification, log_audit_event -> send_notification, send_notification -> reset_password, tag_resource -> create_ticket, tag_resource -> log_audit_event",tag_resource;create_ticket;log_audit_event;send_notification;reset_password,0->1;0->2;1->3;2->3;3->4,generated,asymmetric_fork_join,6f46a71b91dbd14a
"ASAP — ping Charlie about it and add the attacker's IP to the firewall blocklist, merge everything and roll out the containerised app to staging-db-02 while also issue a new secret for auth-svc-04 and mark the cdn-edge-06 alert as seen.",10038,"block_ip_address -> deploy_container, deploy_container -> acknowledge_alert, deploy_container -> rotate_api_key, send_notification -> deploy_container",send_notification;block_ip_address;deploy_container;rotate_api_key;acknowledge_alert,0->2;1->2;2->3;2->4,generated,hourglass,7471562513a10bec
"Per Charlie's request, fire off a notification to Frank and blacklist the IP that's flooding payment-api-03. When all of that's complete, get the container running on payment-api-03 while also issue a new secret for staging-db-02 and ack the firing alert for ml-infer-05.",10038,"block_ip_address -> deploy_container, deploy_container -> acknowledge_alert, deploy_container -> rotate_api_key, send_notification -> deploy_container",send_notification;block_ip_address;deploy_container;rotate_api_key;acknowledge_alert,0->2;1->2;2->3;2->4,generated,hourglass,7471562513a10bec
"I need you to notify the Finance team and add the attacker's IP to the firewall blocklist. When all of that's complete, push the container image for Legal and concurrently generate a new API key for auth-svc-04 and confirm we're aware of the cdn-edge-06 incident.",10038,"block_ip_address -> deploy_container, deploy_container -> acknowledge_alert, deploy_container -> rotate_api_key, send_notification -> deploy_container",send_notification;block_ip_address;deploy_container;rotate_api_key;acknowledge_alert,0->2;1->2;2->3;2->4,generated,hourglass,7471562513a10bec
"For the Marketing team, fire off a notification to Diana and blacklist the IP that's flooding staging-db-02. When all of that's complete, roll out the containerised app to staging-db-02, and while you're at it, cycle the secret for Legal's service and accept the notification about payment-api-03.",10038,"block_ip_address -> deploy_container, deploy_container -> acknowledge_alert, deploy_container -> rotate_api_key, send_notification -> deploy_container",send_notification;block_ip_address;deploy_container;rotate_api_key;acknowledge_alert,0->2;1->2;2->3;2->4,generated,hourglass,7471562513a10bec
"Get a human involved for Bob, and then add the reviewer role to Charlie's account, followed by give Frank their money back — then trigger failover for prod-web-01, and then switch to the standby for staging-db-02. When all of that's complete, add a DNS record for Finance's service.",10039,"assign_role -> process_refund, escalate_to_human -> assign_role, process_refund -> create_dns_record, process_refund -> trigger_failover, trigger_failover -> create_dns_record, trigger_failover -> trigger_failover",escalate_to_human;assign_role;process_refund;trigger_failover;trigger_failover;create_dns_record,0->1;1->2;2->3;3->4;4->5;2->5,generated,long_chain_branched,b6a50bfd48f7ee0e
"I need you to bring in tier-2 support for Charlie. Next, give Bob the editor permission, followed by give Eve their money back, then trigger failover for staging-db-02. After that, fail over auth-svc-04 to the secondary. When all of that's complete, point the domain to auth-svc-04.",10039,"assign_role -> process_refund, escalate_to_human -> assign_role, process_refund -> create_dns_record, process_refund -> trigger_failover, trigger_failover -> create_dns_record, trigger_failover -> trigger_failover",escalate_to_human;assign_role;process_refund;trigger_failover;trigger_failover;create_dns_record,0->1;1->2;2->3;3->4;4->5;2->5,generated,long_chain_branched,b6a50bfd48f7ee0e
"Quick one — wake up the on-call about cdn-edge-06. Next, grant Grace the Marketing manager role. Once that's done, give Bob their money back. Once that's done, trigger failover for prod-web-01. Once that's done, fail over payment-api-03 to the secondary, merge everything and add a DNS record for Engineering's service.",10039,"assign_role -> process_refund, escalate_to_human -> assign_role, process_refund -> create_dns_record, process_refund -> trigger_failover, trigger_failover -> create_dns_record, trigger_failover -> trigger_failover",escalate_to_human;assign_role;process_refund;trigger_failover;trigger_failover;create_dns_record,0->1;1->2;2->3;3->4;4->5;2->5,generated,long_chain_branched,b6a50bfd48f7ee0e
"Diana reported an issue — hand Eve's issue off to an engineer, and then assign the admin role to Alice. After that, process the payout for Charlie, then fail over auth-svc-04 to the secondary, then activate the DR replica for cdn-edge-06, then converge and create a DNS entry for auth-svc-04.",10039,"assign_role -> process_refund, escalate_to_human -> assign_role, process_refund -> create_dns_record, process_refund -> trigger_failover, trigger_failover -> create_dns_record, trigger_failover -> trigger_failover",escalate_to_human;assign_role;process_refund;trigger_failover;trigger_failover;create_dns_record,0->1;1->2;2->3;3->4;4->5;2->5,generated,long_chain_branched,b6a50bfd48f7ee0e
"The Engineering team needs us to create a DNS entry for prod-web-01 and at the same time archive Grace's old records, assess prod-web-01's status, and run a malware sweep on auth-svc-04. To wrap up, acknowledge the alert on prod-web-01.",10040,"create_dns_record -> archive_data, create_dns_record -> check_status, create_dns_record -> scan_malware, scan_malware -> acknowledge_alert",create_dns_record;archive_data;check_status;scan_malware;acknowledge_alert,0->1;0->2;0->3;3->4,generated,multi_branch_independent,30e324c1d59f9faa
"The HR team needs us to add a DNS record for Finance's service, and while you're at it, cold-store the old records for Bob, ping payment-api-03 for a health check, and check staging-db-02 for vulnerabilities. Finally, ack the firing alert for staging-db-02.",10040,"create_dns_record -> archive_data, create_dns_record -> check_status, create_dns_record -> scan_malware, scan_malware -> acknowledge_alert",create_dns_record;archive_data;check_status;scan_malware;acknowledge_alert,0->1;0->2;0->3;3->4,generated,multi_branch_independent,30e324c1d59f9faa
"I need you to update the DNS to route to cdn-edge-06 while also archive the old entries for Frank, verify staging-db-02's health, and run a malware sweep on cdn-edge-06, and lastly ack the firing alert for cdn-edge-06.",10040,"create_dns_record -> archive_data, create_dns_record -> check_status, create_dns_record -> scan_malware, scan_malware -> acknowledge_alert",create_dns_record;archive_data;check_status;scan_malware;acknowledge_alert,0->1;0->2;0->3;3->4,generated,multi_branch_independent,30e324c1d59f9faa
"The Engineering team needs us to set up DNS for prod-web-01, and while you're at it, cold-store the old records for Grace, see what's going on with cdn-edge-06, and sweep payment-api-03 for IOCs. Finally, ack the firing alert for staging-db-02.",10040,"create_dns_record -> archive_data, create_dns_record -> check_status, create_dns_record -> scan_malware, scan_malware -> acknowledge_alert",create_dns_record;archive_data;check_status;scan_malware;acknowledge_alert,0->1;0->2;0->3;3->4,generated,multi_branch_independent,30e324c1d59f9faa
"Urgent: sign off on Charlie's permission request and put Legal's historical data into the archive while also switch on the flag for HR and bust the cache on auth-svc-04, merge everything and spin up a tracking ticket for Eve.",10041,"approve_access -> enable_feature_flag, archive_data -> invalidate_cache, enable_feature_flag -> create_ticket, invalidate_cache -> create_ticket",approve_access;enable_feature_flag;archive_data;invalidate_cache;create_ticket,0->1;2->3;1->4;3->4,generated,w_shape,8dccbad853264b80
"When you get a chance, approve Alice's access request and cold-store the old records for Bob and concurrently enable the flag for payment-api-03 and purge prod-web-01's cached data. Once both are done, file an incident report about staging-db-02.",10041,"approve_access -> enable_feature_flag, archive_data -> invalidate_cache, enable_feature_flag -> create_ticket, invalidate_cache -> create_ticket",approve_access;enable_feature_flag;archive_data;invalidate_cache;create_ticket,0->1;2->3;1->4;3->4,generated,w_shape,8dccbad853264b80
