query,positive_dag_id,negative_dag_id,negative_type,neg_tools,neg_edges,neg_dag_text
"Do me a favor and hand prod-web-01 over to Marketing. Once that's done, mark the payment-api-03 alert as seen, then whip up a report for HR. To wrap up, create a monitoring rule for payment-api-03.",432,neg_115,swap_tools,invalidate_cache;archive_data;enable_feature_flag;trigger_failover,0->1;1->2;2->3,"archive_data -> enable_feature_flag, enable_feature_flag -> trigger_failover, invalidate_cache -> archive_data"
"Do me a favor and hand prod-web-01 over to Marketing. Once that's done, mark the payment-api-03 alert as seen, then whip up a report for HR. To wrap up, create a monitoring rule for payment-api-03.",432,neg_116,remove_edge,transfer_ownership;acknowledge_alert;generate_report;create_alert_rule,0->1;1->2,"acknowledge_alert -> generate_report, transfer_ownership -> acknowledge_alert"
"Do me a favor and hand prod-web-01 over to Marketing. Once that's done, mark the payment-api-03 alert as seen, then whip up a report for HR. To wrap up, create a monitoring rule for payment-api-03.",432,neg_117,add_edge,transfer_ownership;acknowledge_alert;generate_report;create_alert_rule,0->1;1->2;2->3;0->2,"acknowledge_alert -> generate_report, generate_report -> create_alert_rule, transfer_ownership -> acknowledge_alert, transfer_ownership -> generate_report"
"Do me a favor and hand prod-web-01 over to Marketing. Once that's done, mark the payment-api-03 alert as seen, then whip up a report for HR. To wrap up, create a monitoring rule for payment-api-03.",432,neg_118,extra_node,transfer_ownership;acknowledge_alert;generate_report;create_alert_rule;trigger_failover,0->1;1->2;2->3;4->2,"acknowledge_alert -> generate_report, generate_report -> create_alert_rule, transfer_ownership -> acknowledge_alert, trigger_failover -> generate_report"
"Do me a favor and block the suspicious IP hitting prod-web-01, and then check if auth-svc-04 is up. Once that's done, build a compliance doc for Marketing. Finally, fetch #31450's info.",437,neg_119,swap_edges,block_ip_address;check_status;generate_report;db_read,3->2;1->2;0->2,"block_ip_address -> generate_report, check_status -> generate_report, db_read -> generate_report"
"Do me a favor and block the suspicious IP hitting prod-web-01, and then check if auth-svc-04 is up. Once that's done, build a compliance doc for Marketing. Finally, fetch #31450's info.",437,neg_120,swap_tools,quarantine_system;scale_service;renew_certificate;approve_access,0->1;1->2;2->3,"quarantine_system -> scale_service, renew_certificate -> approve_access, scale_service -> renew_certificate"
"Do me a favor and block the suspicious IP hitting prod-web-01, and then check if auth-svc-04 is up. Once that's done, build a compliance doc for Marketing. Finally, fetch #31450's info.",437,neg_121,remove_edge,block_ip_address;check_status;generate_report;db_read,0->1;1->2,"block_ip_address -> check_status, check_status -> generate_report"
"Do me a favor and block the suspicious IP hitting prod-web-01, and then check if auth-svc-04 is up. Once that's done, build a compliance doc for Marketing. Finally, fetch #31450's info.",437,neg_122,add_edge,block_ip_address;check_status;generate_report;db_read,0->1;1->2;2->3;0->3,"block_ip_address -> check_status, block_ip_address -> db_read, check_status -> generate_report, generate_report -> db_read"
"Do me a favor and block the suspicious IP hitting prod-web-01, and then check if auth-svc-04 is up. Once that's done, build a compliance doc for Marketing. Finally, fetch #31450's info.",437,neg_123,extra_node,block_ip_address;check_status;generate_report;db_read;export_data,0->1;1->2;2->3;4->3,"block_ip_address -> check_status, check_status -> generate_report, export_data -> db_read, generate_report -> db_read"
"Do me a favor and store the Finance config in the database, and then the cert for staging-db-02 is about to expire, renew it.",176,neg_124,swap_tools,reset_password;restore_backup,0->1,reset_password -> restore_backup
"Do me a favor and store the Finance config in the database, and then the cert for staging-db-02 is about to expire, renew it.",176,neg_125,extra_node,db_write;renew_certificate;create_ticket,0->1;2->0,"create_ticket -> db_write, db_write -> renew_certificate"
"I need you to scan staging-db-02 for threats — in parallel, yank prod-web-01 off the network and file an incident report about staging-db-02. After those finish, make a compliance log about Alice.",142,neg_126,swap_edges,scan_malware;quarantine_system;create_ticket;log_audit_event,3->1;3->0;0->1;2->0,"create_ticket -> scan_malware, log_audit_event -> quarantine_system, log_audit_event -> scan_malware, scan_malware -> quarantine_system"
"I need you to scan staging-db-02 for threats — in parallel, yank prod-web-01 off the network and file an incident report about staging-db-02. After those finish, make a compliance log about Alice.",142,neg_127,swap_tools,run_pipeline;renew_certificate;export_data;rollback_deployment,0->1;0->2;1->3;2->3,"export_data -> rollback_deployment, renew_certificate -> rollback_deployment, run_pipeline -> export_data, run_pipeline -> renew_certificate"
"I need you to scan staging-db-02 for threats — in parallel, yank prod-web-01 off the network and file an incident report about staging-db-02. After those finish, make a compliance log about Alice.",142,neg_128,remove_edge,scan_malware;quarantine_system;create_ticket;log_audit_event,0->1;0->2;2->3,"create_ticket -> log_audit_event, scan_malware -> create_ticket, scan_malware -> quarantine_system"
"I need you to scan staging-db-02 for threats — in parallel, yank prod-web-01 off the network and file an incident report about staging-db-02. After those finish, make a compliance log about Alice.",142,neg_129,add_edge,scan_malware;quarantine_system;create_ticket;log_audit_event,0->1;0->2;1->3;2->3;1->2,"create_ticket -> log_audit_event, quarantine_system -> create_ticket, quarantine_system -> log_audit_event, scan_malware -> create_ticket, scan_malware -> quarantine_system"
"I need you to scan staging-db-02 for threats — in parallel, yank prod-web-01 off the network and file an incident report about staging-db-02. After those finish, make a compliance log about Alice.",142,neg_130,extra_node,scan_malware;quarantine_system;create_ticket;log_audit_event;log_audit_event,0->1;0->2;1->3;2->3;3->4,"create_ticket -> log_audit_event, log_audit_event -> log_audit_event, quarantine_system -> log_audit_event, scan_malware -> create_ticket, scan_malware -> quarantine_system"
"For the Engineering team, check the DB for Grace and diagnose ml-infer-05. When all of that's complete, escalate Charlie's case to the on-call. To wrap up, file a bug about staging-db-02.",148,neg_131,swap_edges,db_read;check_status;escalate_to_human;create_ticket,1->3;2->3;0->3,"check_status -> create_ticket, db_read -> create_ticket, escalate_to_human -> create_ticket"
"For the Engineering team, check the DB for Grace and diagnose ml-infer-05. When all of that's complete, escalate Charlie's case to the on-call. To wrap up, file a bug about staging-db-02.",148,neg_132,swap_tools,deploy_container;export_data;restore_backup;snapshot_vm,0->2;1->2;2->3,"deploy_container -> restore_backup, export_data -> restore_backup, restore_backup -> snapshot_vm"
"For the Engineering team, check the DB for Grace and diagnose ml-infer-05. When all of that's complete, escalate Charlie's case to the on-call. To wrap up, file a bug about staging-db-02.",148,neg_133,remove_edge,db_read;check_status;escalate_to_human;create_ticket,0->2;2->3,"db_read -> escalate_to_human, escalate_to_human -> create_ticket"
"For the Engineering team, check the DB for Grace and diagnose ml-infer-05. When all of that's complete, escalate Charlie's case to the on-call. To wrap up, file a bug about staging-db-02.",148,neg_134,add_edge,db_read;check_status;escalate_to_human;create_ticket,0->2;1->2;2->3;1->3,"check_status -> create_ticket, check_status -> escalate_to_human, db_read -> escalate_to_human, escalate_to_human -> create_ticket"
"For the Engineering team, check the DB for Grace and diagnose ml-infer-05. When all of that's complete, escalate Charlie's case to the on-call. To wrap up, file a bug about staging-db-02.",148,neg_135,extra_node,db_read;check_status;escalate_to_human;create_ticket;invalidate_cache,0->2;1->2;2->3;4->0,"check_status -> escalate_to_human, db_read -> escalate_to_human, escalate_to_human -> create_ticket, invalidate_cache -> db_read"
"Reissue the TLS certificate for Engineering and blast an alert to Engineering, then converge and bring cdn-edge-06 back from the snapshot.",508,neg_136,swap_edges,renew_certificate;send_notification;restore_backup,1->0;2->0,"restore_backup -> renew_certificate, send_notification -> renew_certificate"
"Reissue the TLS certificate for Engineering and blast an alert to Engineering, then converge and bring cdn-edge-06 back from the snapshot.",508,neg_137,swap_tools,acknowledge_alert;log_audit_event;db_read,0->2;1->2,"acknowledge_alert -> db_read, log_audit_event -> db_read"
"Reissue the TLS certificate for Engineering and blast an alert to Engineering, then converge and bring cdn-edge-06 back from the snapshot.",508,neg_138,remove_edge,renew_certificate;send_notification;restore_backup,1->2,send_notification -> restore_backup
"Reissue the TLS certificate for Engineering and blast an alert to Engineering, then converge and bring cdn-edge-06 back from the snapshot.",508,neg_139,add_edge,renew_certificate;send_notification;restore_backup,0->2;1->2;1->0,"renew_certificate -> restore_backup, send_notification -> renew_certificate, send_notification -> restore_backup"
"Reissue the TLS certificate for Engineering and blast an alert to Engineering, then converge and bring cdn-edge-06 back from the snapshot.",508,neg_140,extra_node,renew_certificate;send_notification;restore_backup;disable_feature_flag,0->2;1->2;1->3,"renew_certificate -> restore_backup, send_notification -> disable_feature_flag, send_notification -> restore_backup"
"From Marketing: nuke Bob's old login and issue a fresh one — then adjust the instance count for cdn-edge-06, followed by write the new data for #60122 back. Last step: authorize Charlie for ml-infer-05.",390,neg_141,swap_edges,reset_password;scale_service;db_write;approve_access,2->0;2->3;1->2,"db_write -> approve_access, db_write -> reset_password, scale_service -> db_write"
"From Marketing: nuke Bob's old login and issue a fresh one — then adjust the instance count for cdn-edge-06, followed by write the new data for #60122 back. Last step: authorize Charlie for ml-infer-05.",390,neg_142,swap_tools,scan_malware;revoke_access;create_ticket;renew_certificate,0->1;1->2;2->3,"create_ticket -> renew_certificate, revoke_access -> create_ticket, scan_malware -> revoke_access"
"From Marketing: nuke Bob's old login and issue a fresh one — then adjust the instance count for cdn-edge-06, followed by write the new data for #60122 back. Last step: authorize Charlie for ml-infer-05.",390,neg_143,remove_edge,reset_password;scale_service;db_write;approve_access,0->1;2->3,"db_write -> approve_access, reset_password -> scale_service"
"From Marketing: nuke Bob's old login and issue a fresh one — then adjust the instance count for cdn-edge-06, followed by write the new data for #60122 back. Last step: authorize Charlie for ml-infer-05.",390,neg_144,add_edge,reset_password;scale_service;db_write;approve_access,0->1;1->2;2->3;1->3,"db_write -> approve_access, reset_password -> scale_service, scale_service -> approve_access, scale_service -> db_write"
"From Marketing: nuke Bob's old login and issue a fresh one — then adjust the instance count for cdn-edge-06, followed by write the new data for #60122 back. Last step: authorize Charlie for ml-infer-05.",390,neg_145,extra_node,reset_password;scale_service;db_write;approve_access;restore_backup,0->1;1->2;2->3;0->4,"db_write -> approve_access, reset_password -> restore_backup, reset_password -> scale_service, scale_service -> db_write"
"Grace reported an issue — kick off the CI/CD pipeline for Finance, followed by escalate Frank's case to the on-call.",235,neg_146,swap_tools,renew_certificate;process_refund,0->1,renew_certificate -> process_refund
"Grace reported an issue — kick off the CI/CD pipeline for Finance, followed by escalate Frank's case to the on-call.",235,neg_147,extra_node,run_pipeline;escalate_to_human;invalidate_cache,0->1;0->2,"run_pipeline -> escalate_to_human, run_pipeline -> invalidate_cache"
"Block the IP, log it for compliance, and alert Marketing in parallel.",52,neg_148,swap_edges,block_ip_address;log_audit_event;send_notification,0->1;1->2,"block_ip_address -> log_audit_event, log_audit_event -> send_notification"
"Block the IP, log it for compliance, and alert Marketing in parallel.",52,neg_149,swap_tools,deploy_container;process_refund;check_status,0->1;0->2,"deploy_container -> check_status, deploy_container -> process_refund"
"Block the IP, log it for compliance, and alert Marketing in parallel.",52,neg_150,remove_edge,block_ip_address;log_audit_event;send_notification,0->1,block_ip_address -> log_audit_event
"Block the IP, log it for compliance, and alert Marketing in parallel.",52,neg_151,add_edge,block_ip_address;log_audit_event;send_notification,0->1;0->2;2->1,"block_ip_address -> log_audit_event, block_ip_address -> send_notification, send_notification -> log_audit_event"
"Block the IP, log it for compliance, and alert Marketing in parallel.",52,neg_152,extra_node,block_ip_address;log_audit_event;send_notification;backup_database,0->1;0->2;3->1,"backup_database -> log_audit_event, block_ip_address -> log_audit_event, block_ip_address -> send_notification"
"Credit the account and cancel the sub, then shoot Charlie a message about the changes.",13,neg_153,swap_edges,process_refund;update_subscription;send_notification,1->0;1->2,"update_subscription -> process_refund, update_subscription -> send_notification"
"Credit the account and cancel the sub, then shoot Charlie a message about the changes.",13,neg_154,swap_tools,remove_role;create_dns_record;scan_malware,0->2;1->2,"create_dns_record -> scan_malware, remove_role -> scan_malware"
"Credit the account and cancel the sub, then shoot Charlie a message about the changes.",13,neg_155,remove_edge,process_refund;update_subscription;send_notification,0->2,process_refund -> send_notification
"Credit the account and cancel the sub, then shoot Charlie a message about the changes.",13,neg_156,add_edge,process_refund;update_subscription;send_notification,0->2;1->2;1->0,"process_refund -> send_notification, update_subscription -> process_refund, update_subscription -> send_notification"
"Credit the account and cancel the sub, then shoot Charlie a message about the changes.",13,neg_157,extra_node,process_refund;update_subscription;send_notification;check_status,0->2;1->2;3->0,"check_status -> process_refund, process_refund -> send_notification, update_subscription -> send_notification"
"From Finance: archive Frank's old records — then reboot auth-svc-04. After that, restore prod-web-01 from the latest backup. Finally, turn on the feature flag for Engineering.",413,neg_158,swap_edges,archive_data;restart_service;restore_backup;enable_feature_flag,1->2;1->0;2->0,"restart_service -> archive_data, restart_service -> restore_backup, restore_backup -> archive_data"
"From Finance: archive Frank's old records — then reboot auth-svc-04. After that, restore prod-web-01 from the latest backup. Finally, turn on the feature flag for Engineering.",413,neg_159,swap_tools,run_load_test;log_audit_event;provision_vm;run_pipeline,0->1;1->2;2->3,"log_audit_event -> provision_vm, provision_vm -> run_pipeline, run_load_test -> log_audit_event"
"From Finance: archive Frank's old records — then reboot auth-svc-04. After that, restore prod-web-01 from the latest backup. Finally, turn on the feature flag for Engineering.",413,neg_160,remove_edge,archive_data;restart_service;restore_backup;enable_feature_flag,0->1;1->2,"archive_data -> restart_service, restart_service -> restore_backup"
"From Finance: archive Frank's old records — then reboot auth-svc-04. After that, restore prod-web-01 from the latest backup. Finally, turn on the feature flag for Engineering.",413,neg_161,add_edge,archive_data;restart_service;restore_backup;enable_feature_flag,0->1;1->2;2->3;0->2,"archive_data -> restart_service, archive_data -> restore_backup, restart_service -> restore_backup, restore_backup -> enable_feature_flag"
"From Finance: archive Frank's old records — then reboot auth-svc-04. After that, restore prod-web-01 from the latest backup. Finally, turn on the feature flag for Engineering.",413,neg_162,extra_node,archive_data;restart_service;restore_backup;enable_feature_flag;escalate_to_human,0->1;1->2;2->3;0->4,"archive_data -> escalate_to_human, archive_data -> restart_service, restart_service -> restore_backup, restore_backup -> enable_feature_flag"
"I need you to plan maintenance on payment-api-03 for Finance. Next, stress test payment-api-03 before the launch.",250,neg_163,swap_tools,unblock_ip_address;assign_role,0->1,unblock_ip_address -> assign_role
"I need you to plan maintenance on payment-api-03 for Finance. Next, stress test payment-api-03 before the launch.",250,neg_164,extra_node,schedule_maintenance;run_load_test;restart_service,0->1;2->0,"restart_service -> schedule_maintenance, schedule_maintenance -> run_load_test"
"Urgent: look up the records for #53698, then produce the HR performance summary. To wrap up, shoot Charlie an email.",112,neg_165,swap_edges,db_read;generate_report;send_notification,0->2;2->1,"db_read -> send_notification, send_notification -> generate_report"
"Urgent: look up the records for #53698, then produce the HR performance summary. To wrap up, shoot Charlie an email.",112,neg_166,swap_tools,schedule_maintenance;tag_resource;snapshot_vm,0->1;1->2,"schedule_maintenance -> tag_resource, tag_resource -> snapshot_vm"
"Urgent: look up the records for #53698, then produce the HR performance summary. To wrap up, shoot Charlie an email.",112,neg_167,remove_edge,db_read;generate_report;send_notification,1->2,generate_report -> send_notification
"Urgent: look up the records for #53698, then produce the HR performance summary. To wrap up, shoot Charlie an email.",112,neg_168,add_edge,db_read;generate_report;send_notification,0->1;1->2;0->2,"db_read -> generate_report, db_read -> send_notification, generate_report -> send_notification"
"Urgent: look up the records for #53698, then produce the HR performance summary. To wrap up, shoot Charlie an email.",112,neg_169,extra_node,db_read;generate_report;send_notification;run_pipeline,0->1;1->2;3->0,"db_read -> generate_report, generate_report -> send_notification, run_pipeline -> db_read"
"Grace reported an issue — roll back the last deploy on ml-infer-05, then log Charlie's action for compliance.",281,neg_170,swap_tools,trigger_failover;create_dns_record,0->1,trigger_failover -> create_dns_record
"Grace reported an issue — roll back the last deploy on ml-infer-05, then log Charlie's action for compliance.",281,neg_171,extra_node,rollback_deployment;log_audit_event;disable_feature_flag,0->1;2->1,"disable_feature_flag -> log_audit_event, rollback_deployment -> log_audit_event"
"I need you to the cert for payment-api-03 is about to expire, renew it, then scale up cdn-edge-06.",214,neg_172,swap_tools,unblock_ip_address;backup_database,0->1,unblock_ip_address -> backup_database
"I need you to the cert for payment-api-03 is about to expire, renew it, then scale up cdn-edge-06.",214,neg_173,extra_node,renew_certificate;scale_service;revoke_access,0->1;2->1,"renew_certificate -> scale_service, revoke_access -> scale_service"
"From Marketing: read Bob's profile from the database and scan staging-db-02 for threats, then converge and file an incident report about ml-infer-05.",135,neg_174,swap_edges,db_read;scan_malware;create_ticket,1->0;0->2,"db_read -> create_ticket, scan_malware -> db_read"
"From Marketing: read Bob's profile from the database and scan staging-db-02 for threats, then converge and file an incident report about ml-infer-05.",135,neg_175,swap_tools,check_status;db_read;export_data,0->2;1->2,"check_status -> export_data, db_read -> export_data"
"From Marketing: read Bob's profile from the database and scan staging-db-02 for threats, then converge and file an incident report about ml-infer-05.",135,neg_176,remove_edge,db_read;scan_malware;create_ticket,0->2,db_read -> create_ticket
"From Marketing: read Bob's profile from the database and scan staging-db-02 for threats, then converge and file an incident report about ml-infer-05.",135,neg_177,add_edge,db_read;scan_malware;create_ticket,0->2;1->2;0->1,"db_read -> create_ticket, db_read -> scan_malware, scan_malware -> create_ticket"
"From Marketing: read Bob's profile from the database and scan staging-db-02 for threats, then converge and file an incident report about ml-infer-05.",135,neg_178,extra_node,db_read;scan_malware;create_ticket;scale_service,0->2;1->2;1->3,"db_read -> create_ticket, scan_malware -> create_ticket, scan_malware -> scale_service"
"From HR: check if staging-db-02 is up. Once that's done, rotate the API key for staging-db-02, and lastly set Frank up with read-write access.",308,neg_179,swap_edges,check_status;rotate_api_key;assign_role,2->0;1->2,"assign_role -> check_status, rotate_api_key -> assign_role"
"From HR: check if staging-db-02 is up. Once that's done, rotate the API key for staging-db-02, and lastly set Frank up with read-write access.",308,neg_180,swap_tools,schedule_maintenance;approve_access;renew_certificate,0->1;1->2,"approve_access -> renew_certificate, schedule_maintenance -> approve_access"
"From HR: check if staging-db-02 is up. Once that's done, rotate the API key for staging-db-02, and lastly set Frank up with read-write access.",308,neg_181,remove_edge,check_status;rotate_api_key;assign_role,1->2,rotate_api_key -> assign_role
"From HR: check if staging-db-02 is up. Once that's done, rotate the API key for staging-db-02, and lastly set Frank up with read-write access.",308,neg_182,add_edge,check_status;rotate_api_key;assign_role,0->1;1->2;0->2,"check_status -> assign_role, check_status -> rotate_api_key, rotate_api_key -> assign_role"
"From HR: check if staging-db-02 is up. Once that's done, rotate the API key for staging-db-02, and lastly set Frank up with read-write access.",308,neg_183,extra_node,check_status;rotate_api_key;assign_role;export_data,0->1;1->2;3->0,"check_status -> rotate_api_key, export_data -> check_status, rotate_api_key -> assign_role"
"ASAP — generate a data export for HR, followed by quarantine prod-web-01, and lastly blacklist the IP that's flooding ml-infer-05.",295,neg_184,swap_edges,export_data;quarantine_system;block_ip_address,2->1;0->1,"block_ip_address -> quarantine_system, export_data -> quarantine_system"
"ASAP — generate a data export for HR, followed by quarantine prod-web-01, and lastly blacklist the IP that's flooding ml-infer-05.",295,neg_185,swap_tools,create_alert_rule;remove_role;escalate_to_human,0->1;1->2,"create_alert_rule -> remove_role, remove_role -> escalate_to_human"
"ASAP — generate a data export for HR, followed by quarantine prod-web-01, and lastly blacklist the IP that's flooding ml-infer-05.",295,neg_186,remove_edge,export_data;quarantine_system;block_ip_address,0->1,export_data -> quarantine_system
"ASAP — generate a data export for HR, followed by quarantine prod-web-01, and lastly blacklist the IP that's flooding ml-infer-05.",295,neg_187,add_edge,export_data;quarantine_system;block_ip_address,0->1;1->2;0->2,"export_data -> block_ip_address, export_data -> quarantine_system, quarantine_system -> block_ip_address"
"ASAP — generate a data export for HR, followed by quarantine prod-web-01, and lastly blacklist the IP that's flooding ml-infer-05.",295,neg_188,extra_node,export_data;quarantine_system;block_ip_address;log_audit_event,0->1;1->2;0->3,"export_data -> log_audit_event, export_data -> quarantine_system, quarantine_system -> block_ip_address"
"Provision the instance, then in parallel: write to DB, alert the team, and audit.",35,neg_189,swap_edges,provision_vm;db_write;send_notification;log_audit_event,2->3;1->3;2->0,"db_write -> log_audit_event, send_notification -> log_audit_event, send_notification -> provision_vm"
"Provision the instance, then in parallel: write to DB, alert the team, and audit.",35,neg_190,swap_tools,trigger_failover;log_audit_event;db_write;archive_data,0->1;0->2;0->3,"trigger_failover -> archive_data, trigger_failover -> db_write, trigger_failover -> log_audit_event"
"Provision the instance, then in parallel: write to DB, alert the team, and audit.",35,neg_191,remove_edge,provision_vm;db_write;send_notification;log_audit_event,0->1;0->3,"provision_vm -> db_write, provision_vm -> log_audit_event"
"Provision the instance, then in parallel: write to DB, alert the team, and audit.",35,neg_192,add_edge,provision_vm;db_write;send_notification;log_audit_event,0->1;0->2;0->3;3->1,"log_audit_event -> db_write, provision_vm -> db_write, provision_vm -> log_audit_event, provision_vm -> send_notification"
"Provision the instance, then in parallel: write to DB, alert the team, and audit.",35,neg_193,extra_node,provision_vm;db_write;send_notification;log_audit_event;reset_password,0->1;0->2;0->3;4->1,"provision_vm -> db_write, provision_vm -> log_audit_event, provision_vm -> send_notification, reset_password -> db_write"
"Time to stand up a new box for Engineering, and then pull a data dump for Eve. Finally, deploy the container for Legal.",373,neg_194,swap_edges,provision_vm;export_data;deploy_container,1->2;0->2,"export_data -> deploy_container, provision_vm -> deploy_container"
"Time to stand up a new box for Engineering, and then pull a data dump for Eve. Finally, deploy the container for Legal.",373,neg_195,swap_tools,trigger_failover;backup_database;acknowledge_alert,0->1;1->2,"backup_database -> acknowledge_alert, trigger_failover -> backup_database"
"Time to stand up a new box for Engineering, and then pull a data dump for Eve. Finally, deploy the container for Legal.",373,neg_196,remove_edge,provision_vm;export_data;deploy_container,1->2,export_data -> deploy_container
"Time to stand up a new box for Engineering, and then pull a data dump for Eve. Finally, deploy the container for Legal.",373,neg_197,add_edge,provision_vm;export_data;deploy_container,0->1;1->2;0->2,"export_data -> deploy_container, provision_vm -> deploy_container, provision_vm -> export_data"
"Time to stand up a new box for Engineering, and then pull a data dump for Eve. Finally, deploy the container for Legal.",373,neg_198,extra_node,provision_vm;export_data;deploy_container;transfer_ownership,0->1;1->2;3->0,"export_data -> deploy_container, provision_vm -> export_data, transfer_ownership -> provision_vm"
"When you get a chance, ack the firing alert for prod-web-01, and then snapshot the database for prod-web-01. To wrap up, give Charlie access to Engineering's resources.",359,neg_199,swap_edges,acknowledge_alert;backup_database;approve_access,1->2;1->0,"backup_database -> acknowledge_alert, backup_database -> approve_access"
"When you get a chance, ack the firing alert for prod-web-01, and then snapshot the database for prod-web-01. To wrap up, give Charlie access to Engineering's resources.",359,neg_200,swap_tools,snapshot_vm;update_subscription;remove_role,0->1;1->2,"snapshot_vm -> update_subscription, update_subscription -> remove_role"
"When you get a chance, ack the firing alert for prod-web-01, and then snapshot the database for prod-web-01. To wrap up, give Charlie access to Engineering's resources.",359,neg_201,remove_edge,acknowledge_alert;backup_database;approve_access,1->2,backup_database -> approve_access
"When you get a chance, ack the firing alert for prod-web-01, and then snapshot the database for prod-web-01. To wrap up, give Charlie access to Engineering's resources.",359,neg_202,add_edge,acknowledge_alert;backup_database;approve_access,0->1;1->2;0->2,"acknowledge_alert -> approve_access, acknowledge_alert -> backup_database, backup_database -> approve_access"
"When you get a chance, ack the firing alert for prod-web-01, and then snapshot the database for prod-web-01. To wrap up, give Charlie access to Engineering's resources.",359,neg_203,extra_node,acknowledge_alert;backup_database;approve_access;schedule_maintenance,0->1;1->2;3->0,"acknowledge_alert -> backup_database, backup_database -> approve_access, schedule_maintenance -> acknowledge_alert"
"Pull the billing record, credit the account, then in parallel: notify and create audit trail.",25,neg_204,swap_edges,db_read;process_refund;send_notification;log_audit_event,0->2;0->1;1->2,"db_read -> process_refund, db_read -> send_notification, process_refund -> send_notification"
"Pull the billing record, credit the account, then in parallel: notify and create audit trail.",25,neg_205,swap_tools,migrate_database;log_audit_event;block_ip_address;acknowledge_alert,0->1;1->2;1->3,"log_audit_event -> acknowledge_alert, log_audit_event -> block_ip_address, migrate_database -> log_audit_event"
"Pull the billing record, credit the account, then in parallel: notify and create audit trail.",25,neg_206,remove_edge,db_read;process_refund;send_notification;log_audit_event,1->2;1->3,"process_refund -> log_audit_event, process_refund -> send_notification"
"Pull the billing record, credit the account, then in parallel: notify and create audit trail.",25,neg_207,add_edge,db_read;process_refund;send_notification;log_audit_event,0->1;1->2;1->3;2->3,"db_read -> process_refund, process_refund -> log_audit_event, process_refund -> send_notification, send_notification -> log_audit_event"
"Pull the billing record, credit the account, then in parallel: notify and create audit trail.",25,neg_208,extra_node,db_read;process_refund;send_notification;log_audit_event;transfer_ownership,0->1;1->2;1->3;4->2,"db_read -> process_refund, process_refund -> log_audit_event, process_refund -> send_notification, transfer_ownership -> send_notification"
"From HR: force a credential change for Alice. Next, spin up a VM for Finance.",183,neg_209,swap_tools,scale_service;schedule_maintenance,0->1,scale_service -> schedule_maintenance
"From HR: force a credential change for Alice. Next, spin up a VM for Finance.",183,neg_210,extra_node,reset_password;provision_vm;provision_vm,0->1;2->0,"provision_vm -> reset_password, reset_password -> provision_vm"
"Time to hand auth-svc-04 over to Finance. After that, take away Alice's manager role. After that, undo the IP block on ml-infer-05. Last step: kick off the CI/CD pipeline for Marketing.",414,neg_211,swap_edges,transfer_ownership;remove_role;unblock_ip_address;run_pipeline,0->1;0->3;0->2,"transfer_ownership -> remove_role, transfer_ownership -> run_pipeline, transfer_ownership -> unblock_ip_address"
"Time to hand auth-svc-04 over to Finance. After that, take away Alice's manager role. After that, undo the IP block on ml-infer-05. Last step: kick off the CI/CD pipeline for Marketing.",414,neg_212,swap_tools,restart_service;db_read;backup_database;block_ip_address,0->1;1->2;2->3,"backup_database -> block_ip_address, db_read -> backup_database, restart_service -> db_read"
"Time to hand auth-svc-04 over to Finance. After that, take away Alice's manager role. After that, undo the IP block on ml-infer-05. Last step: kick off the CI/CD pipeline for Marketing.",414,neg_213,remove_edge,transfer_ownership;remove_role;unblock_ip_address;run_pipeline,0->1;1->2,"remove_role -> unblock_ip_address, transfer_ownership -> remove_role"
"Time to hand auth-svc-04 over to Finance. After that, take away Alice's manager role. After that, undo the IP block on ml-infer-05. Last step: kick off the CI/CD pipeline for Marketing.",414,neg_214,add_edge,transfer_ownership;remove_role;unblock_ip_address;run_pipeline,0->1;1->2;2->3;1->3,"remove_role -> run_pipeline, remove_role -> unblock_ip_address, transfer_ownership -> remove_role, unblock_ip_address -> run_pipeline"
"Time to hand auth-svc-04 over to Finance. After that, take away Alice's manager role. After that, undo the IP block on ml-infer-05. Last step: kick off the CI/CD pipeline for Marketing.",414,neg_215,extra_node,transfer_ownership;remove_role;unblock_ip_address;run_pipeline;process_refund,0->1;1->2;2->3;1->4,"remove_role -> process_refund, remove_role -> unblock_ip_address, transfer_ownership -> remove_role, unblock_ip_address -> run_pipeline"
"For the Engineering team, spin up a tracking ticket for Grace, and then email Grace the update.",81,neg_216,swap_tools,renew_certificate;escalate_to_human,0->1,renew_certificate -> escalate_to_human
"For the Engineering team, spin up a tracking ticket for Grace, and then email Grace the update.",81,neg_217,extra_node,create_ticket;send_notification;tag_resource,0->1;1->2,"create_ticket -> send_notification, send_notification -> tag_resource"
"For the Finance team, check ml-infer-05 for vulnerabilities — then plan maintenance on staging-db-02 for HR, and lastly roll out the containerised app to payment-api-03.",316,neg_218,swap_edges,scan_malware;schedule_maintenance;deploy_container,0->2;1->2,"scan_malware -> deploy_container, schedule_maintenance -> deploy_container"
"For the Finance team, check ml-infer-05 for vulnerabilities — then plan maintenance on staging-db-02 for HR, and lastly roll out the containerised app to payment-api-03.",316,neg_219,swap_tools,revoke_access;merge_accounts;trigger_failover,0->1;1->2,"merge_accounts -> trigger_failover, revoke_access -> merge_accounts"
"For the Finance team, check ml-infer-05 for vulnerabilities — then plan maintenance on staging-db-02 for HR, and lastly roll out the containerised app to payment-api-03.",316,neg_220,remove_edge,scan_malware;schedule_maintenance;deploy_container,1->2,schedule_maintenance -> deploy_container
